Country,State,Total_Acres
CANADA,Maine,2979782.32
CANADA,Texas,1991716.82
CANADA,Oklahoma,1093170.66
CANADA,Washington,923812.12
CANADA,Colorado,851486.71
CANADA,New Mexico,817906.01
NETHERLANDS,Alabama,734511.04
CANADA,Nebraska,683745.62
ITALY,Oklahoma,596405.82
SINGAPORE,Michigan,540183.8
CANADA,Oregon,532270.08
CANADA,Montana,501438.5
CANADA,Louisiana,491066.39
NETHERLANDS,Michigan,458480.55
CANADA,Arkansas,434578.23
CANADA,Kansas,433833.53
ITALY,Kansas,409651.44
GERMANY,Texas,399449.19
SWEDEN,Texas,367416.38
NETHERLANDS,Mississippi,364116.15
CANADA,Michigan,358488.54
NETHERLANDS,Louisiana,354520.39
998 - NO FOREIGN INVESTOR LISTED,Texas,351085.28
UNITED KINGDOM,California,340980.0
CANADA,Alabama,334036.07
NETHERLANDS,Texas,316096.51
MEXICO,New Mexico,313508.06
NETHERLANDS,Colorado,310733.37
NETHERLANDS,South Carolina,304796.84
CANADA,Georgia,292339.71
