Owner,State,County,Country_Code,Acres,Acq_Year,Lat,Lng,Miles_Away,Nearest_Base,Base_Type,China_Flag,Iran_Flag,Russia_Flag,NK_Flag
"FIA TIMBER PARTNERS II, LP",South Carolina,Georgetown,999 - NO PREDOMINANT COUNTRY CODE,8149.0,2012.0,33.4343,-79.3327,9.0,"MCAS Beaufort, SC",Navy,,,,
"Copenhagen Wind Farm, LLC",New York,Jefferson,998 - NO FOREIGN INVESTOR LISTED,2700.0,2018.0,44.0496,-75.9203,9.9,"Fort Drum, NY",Army,,,,
"Lehigh  Hanson ECC, Inc.",New York,Jefferson,998 - NO FOREIGN INVESTOR LISTED,512.0,2017.0,44.0496,-75.9203,9.9,"Fort Drum, NY",Army,,,,
"Lehigh  Hanson ECC, Inc.",New York,Jefferson,998 - NO FOREIGN INVESTOR LISTED,50.0,2017.0,44.0496,-75.9203,9.9,"Fort Drum, NY",Army,,,,
"GOLF PARK, L.C.",Florida,Marion,999 - NO PREDOMINANT COUNTRY CODE,281.0,1992.0,29.2102,-82.0567,10.2,"Camp Blanding, FL",Army,,,,
KAREN FARM CORP.,Florida,Marion,999 - NO PREDOMINANT COUNTRY CODE,80.0,1980.0,29.2102,-82.0567,10.2,"Camp Blanding, FL",Army,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Russell,999 - NO PREDOMINANT COUNTRY CODE,21.44,2020.0,32.2884,-85.1849,13.5,"Fort Moore, GA",Army,,,,
HTFF Reit Inc,Alabama,Bibb,998 - NO FOREIGN INVESTOR LISTED,7032.0,2018.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Bibb,999 - NO PREDOMINANT COUNTRY CODE,12710.37,2020.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
Evergreen Timber Co. AL LLC,Alabama,Bibb,999 - NO PREDOMINANT COUNTRY CODE,9396.51,2020.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Bibb,999 - NO PREDOMINANT COUNTRY CODE,4198.13,2020.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
Tamarack Timber Co.  AL.  LLC,Alabama,Bibb,999 - NO PREDOMINANT COUNTRY CODE,800.33,2020.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
Shades Mountain Timber Co.  AL LLC,Alabama,Bibb,999 - NO PREDOMINANT COUNTRY CODE,51.27,2020.0,32.9986,-87.1265,14.3,"Maxwell AFB, AL",Air Force,,,,
"PAN CONTINENTAL PROP., CORP.",Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,105.0,1981.0,25.615,-80.5624,14.7,"Homestead ARB, FL",Navy,,,,
"SANDHURST INVESTMENTS, INC.",Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,200.0,1982.0,25.615,-80.5624,14.7,"Homestead ARB, FL",Navy,,,,
FUTURE LAND INV. CORP.,Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,150.0,1974.0,25.615,-80.5624,14.7,"Homestead ARB, FL",Navy,,,,
"OREGON GARDEN PRODUCTS, INC.",Florida,Dade,998 - NO FOREIGN INVESTOR LISTED,61.0,1985.0,25.615,-80.5624,14.7,"Homestead ARB, FL",Navy,,,,
"SUN & SHADE PLANTS, INC.",Florida,Dade,999 - NO PREDOMINANT COUNTRY CODE,20.0,1976.0,25.615,-80.5624,14.7,"Homestead ARB, FL",Navy,,,,
Red Dirt Wind Project LLC,Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,720.0,2016.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,160.0,2016.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,116.0,2016.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,105.0,2016.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
Red Dirt Wind Project LLC,Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,40.0,2016.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
"Stilly Way Energy Center, LLC",Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,2041.0,2022.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,,,,
"Stilly Way Energy Center, LLC",Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,272.0,2023.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,0.0,0.0,0.0,0.0
"Stilly Way Energy Center, LLC",Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,166.0,2023.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,0.0,0.0,0.0,0.0
"Stilly Way Energy Center, LLC",Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,120.0,2023.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,0.0,0.0,0.0,0.0
"Stilly Way Energy Center, LLC",Oklahoma,Logan,999 - NO PREDOMINANT COUNTRY CODE,48.0,2023.0,35.9193,-97.4433,15.6,"Tinker AFB, OK",Air Force,0.0,0.0,0.0,0.0
"HOLLY LANE STUD, N.A., LTD.",New Jersey,Ocean,999 - NO PREDOMINANT COUNTRY CODE,91.0,1992.0,39.8856,-74.2814,16.6,"Joint Base McGuire-Dix, NJ",Army,,,,
ISLAND REALTY CORP.,Virginia,Chesapeake,999 - NO PREDOMINANT COUNTRY CODE,904.0,1980.0,36.6778,-76.3023,18.0,"Naval Station Norfolk, VA",Navy,,,,
HTFF Reit Inc,Alabama,Coffee,998 - NO FOREIGN INVESTOR LISTED,853.0,2018.0,31.4027,-85.9882,18.1,"Fort Novosel, AL",Army,,,,
Rubisco US Farmland Blocker LLC,California,Tulare,998 - NO FOREIGN INVESTOR LISTED,183.0,2021.0,36.2202,-118.8005,19.1,"Lemoore NAS, CA",Air Force,,,,
John Hancock Life & Health Insurance Co.,California,Tulare,998 - NO FOREIGN INVESTOR LISTED,162.0,2012.0,36.2202,-118.8005,19.1,"Lemoore NAS, CA",Air Force,0.0,0.0,0.0,0.0
