Owner Name 1/,State,County,Country,Number of Acres,Acquisition Year,Lat,lng,Owner Type,Principal Place of Business,Secondary Interest in China,Secondary Interest in Iran,Secondary Interest in Russia,Secondary Intereset in North Korea
"Great Western Wind Energy, LLC",Oklahoma,Ellis,998 - NO FOREIGN INVESTOR LISTED,16523.0,2016.0,36.2184,-99.7546,Other,840.0,,,,
"Great Western Wind Energy, LLC",Oklahoma,Woodward,998 - NO FOREIGN INVESTOR LISTED,11666.0,2016.0,36.4227,-99.2651,Other,840.0,,,,
"Deep Water Raanch, LLC",Nebraska,Lincoln,999 - NO PREDOMINANT COUNTRY CODE,2848.0,2020.0,41.0477,-100.7453,Other,840.0,,,,
"Risland Mantua, LLC",Texas,Collin,998 - NO FOREIGN INVESTOR LISTED,4.8986,2018.0,33.188,-96.5724,Other,840.0,,,,
FS San Augustine LLC,Texas,Tyler,998 - NO FOREIGN INVESTOR LISTED,44496.0,2018.0,30.7712,-94.3766,Corporation,840.0,,,,
FS San Augustine LLC,Texas,Newton,998 - NO FOREIGN INVESTOR LISTED,43957.44,2018.0,30.7863,-93.7448,Corporation,840.0,,,,
"Acer Klamath Forest, LLC",California,Siskiyou,999 - NO PREDOMINANT COUNTRY CODE,97710.61,2022.0,41.5927,-122.5404,Other,840.0,,,,
"FS LOUISIANA II, LLC",Louisiana,Vernon,998 - NO FOREIGN INVESTOR LISTED,36392.0,2018.0,31.1083,-93.1843,Other,840.0,,,,
ORM Timber Fund III (Reit) Inc,Oregon,Columbia,999 - NO PREDOMINANT COUNTRY CODE,12884.0,2014.0,45.9438,-123.0883,Corporation,840.0,,,,
S.D. WARREN CO.,Maine,Somerset,999 - NO PREDOMINANT COUNTRY CODE,2807.0,1994.0,45.5139,-69.9589,Corporation,840.0,,,,
"Lakeswind Power Partners, LLC",Minnesota,Clay,998 - NO FOREIGN INVESTOR LISTED,9342.61,2015.0,46.8923,-96.4906,Other,840.0,,,,
ORM Timber Fund III (Reit) Inc,Washington,Grays Harbor,998 - NO FOREIGN INVESTOR LISTED,15133.0,2015.0,47.1503,-123.7735,Corporation,840.0,,,,
